,Content ID,Content Type,Category,Type,Datetime,Sentiment,Score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,2020-11-07 09:43:50,negative,0
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,2021-01-06 19:13:01,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,2021-04-09 02:46:20,negative,0
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,2021-06-17 12:22:51,negative,10
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,2020-11-09 02:49:59,negative,10
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,2020-11-29 21:33:04,negative,10
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2021-04-18 05:13:58,negative,15
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2020-11-02 06:28:53,negative,15
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2020-09-03 18:51:38,negative,15
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2021-04-20 23:48:12,negative,15
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2020-09-29 16:00:27,negative,15
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2020-08-23 12:25:58,positive,30
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2020-11-01 01:16:21,positive,30
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2021-05-22 19:44:23,positive,30
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2021-03-07 12:40:11,positive,30
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2021-02-04 03:06:12,positive,30
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2020-07-14 05:28:44,positive,30
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,2020-12-07 06:27:54,neutral,35
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,2021-04-01 22:54:23,neutral,35
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,2020-09-23 06:24:11,neutral,35
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,2020-11-20 17:26:23,neutral,35
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,2021-04-11 17:35:49,positive,70
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,2020-08-04 23:58:42,positive,70
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,2021-01-27 08:32:09,negative,5
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,2020-10-07 18:39:08,negative,5
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,2020-06-27 18:44:39,negative,5
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,2021-05-09 21:05:17,negative,5
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,2021-03-15 03:59:11,negative,5
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,love,2020-08-04 05:05:02,positive,65
